applicant_id,day,description,amount,balance_after,true_category
2,25,TRAINLINE 11987,-7.23,1364.76,transport
2,25,AMZNMktplace 48316,-42.91,1113.98,shopping
2,26,NANDOS 23905,-10.13,1303.56,eating_out
2,27,WAITROSE 42432,-31.21,1685.92,groceries
2,27,LIDL GB 7477,-29.31,1450.17,groceries
2,27,DELIVEROO 76978,-21.9,1281.66,eating_out
2,27,CASH WDL ATM 34061,-200.0,592.88,cash
2,28,UC PAYMENT DWP,1773.74,2084.35,income
2,28,LINK ATM WDL 77489,-50.0,900.03,cash
2,29,BP EXPRESS 91713,-10.82,1313.62,transport
2,29,WAGAMAMA 30375,-12.11,1168.54,eating_out
2,30,NANDOS 13777,-29.76,1259.87,eating_out
2,32,LINK ATM WDL 46048,-20.0,880.03,cash
2,33,UBER *EATS 89017,-8.66,1159.88,eating_out
2,35,RENT PAYMENT REF81020,-314.11,1770.24,housing
2,35,MORRISONS STORE 67589,-30.59,1599.78,groceries
2,35,TRAINLINE 38821,-6.76,1336.77,transport
2,36,TFL TRAVEL CH,-12.12,1371.86,transport
2,37,NCP CAR PARK,-12.33,1324.44,transport
2,38,WAGAMAMA 79111,-16.74,1199.73,eating_out
2,38,COSTA COFFEE 70110,-25.96,1133.92,eating_out
2,39,KLARNA* PYMT 56736,-282.27,547.76,debt_repayment
2,40,NCP CAR PARK,-12.36,1301.26,transport
2,41,LIDL GB 49901,-30.52,1569.26,groceries
2,41,ICELAND FOODS,-50.96,1404.3,groceries
2,41,ARGOS RETAIL 50481,-11.84,1112.43,shopping
2,42,TRAINLINE 39944,-12.05,1392.25,transport
2,42,ZARA UK 93925,-11.84,1011.14,shopping
2,42,ASOS.COM,-16.12,995.02,shopping
2,42,LINK ATM WDL 61480,-50.0,830.03,cash
2,43,UBER *EATS 94792,-23.72,1216.47,eating_out
2,43,SPOTIFY UK 54236,-4.99,990.03,subscriptions
2,45,M&S SIMPLY FOOD,-49.21,1486.64,groceries
